valid_time,sp,windspeed,t2m_f
2019-01-01,100843.19,3.988464419616885,41.13815000000001
2019-01-02,100699.44,4.170898502815071,41.62560800000008
2019-01-03,101204.25,2.7037677541091965,33.801368000000025
2019-01-04,100453.375,1.9396682025530887,36.353048000000015
2019-01-05,99954.06,2.0539945012171503,41.476190000000074
2019-01-06,99122.56,3.994861773662154,42.90440000000009
2019-01-07,100896.0,6.034359186117317,36.433796000000065
2019-01-08,101648.06,1.5233251298301094,28.98055400000005
2019-01-09,99557.06,0.591260999346947,39.14708000000009
2019-01-10,99168.0,5.27002334972375,36.876020000000054
2019-01-11,100044.19,5.852073105335104,29.679620000000067
2019-01-12,101535.5,4.765727039512729,24.215792000000068
2019-01-13,102086.56,1.3483625434037303,29.04386000000004
2019-01-14,101458.56,3.360147928707528,27.31229600000007
2019-01-15,100896.75,1.5088807317663282,27.74811200000007
2019-01-16,100829.875,1.016569946774929,29.56613000000001
2019-01-17,100753.94,3.1738485951908055,34.857806000000004
2019-01-18,101428.19,1.8539495208655952,27.483350000000087
2019-01-19,100729.44,2.0486256095783957,34.047680000000035
2019-01-20,100632.75,3.732968887272972,32.892800000000065
2019-01-21,99094.375,7.180536379521443,16.136420000000065
2019-01-22,101154.25,7.633495237373325,9.645944000000078
2019-01-23,102432.0,1.3543944773241288,22.359110000000033
2019-01-24,100532.125,3.156912038759608,38.209514000000084
2019-01-25,98861.44,5.35321515341196,38.76080000000005
2019-01-26,100707.19,3.288364739984549,31.61498000000006
2019-01-27,101176.5,1.767313157397669,30.77891599999999
2019-01-28,100201.69,2.7029331906422622,39.662906000000056
2019-01-29,100572.44,1.1867477991420183,25.784852000000022
2019-01-30,99736.56,2.134067403885562,37.312376000000015
2019-01-31,100618.375,7.816092488556686,10.226894000000051
2019-02-01,101628.25,3.5467542031792902,12.89746400000007
2019-02-02,101591.0,1.9480172295911495,18.20539400000006
2019-02-03,100658.94,4.629296750750728,30.007760000000065
2019-02-04,100731.875,2.6965233459637115,38.92172000000007
2019-02-05,100395.0,2.42323088628577,43.52689400000005
2019-02-06,100438.75,3.048253249982547,49.25408
2019-02-07,100839.625,3.389942004914261,38.36375600000008
2019-02-08,100712.19,1.557176014069778,40.26074000000007
2019-02-09,100669.81,5.696765605670307,39.429860000000005
2019-02-10,102654.94,3.1619113413753226,27.774914000000035
2019-02-11,101861.19,1.8674143188747725,31.798669999999994
2019-02-12,101509.81,1.7575834210142771,32.214614000000026
2019-02-13,100264.69,4.682694833402127,29.56877600000008
2019-02-14,99645.19,4.828955255511014,33.98360000000006
2019-02-15,100549.125,2.4704130411167524,37.90148000000007
2019-02-16,99190.69,2.958081578608,50.10242000000007
2019-02-17,100183.375,3.485634647319666,34.88450000000004
2019-02-18,100547.125,2.686358710578563,32.79518600000004
2019-02-19,100916.875,5.768200387261178,29.929784000000076
2019-02-20,102345.375,2.0219469782106647,30.484364000000017
2019-02-21,101475.25,2.723407504557078,27.722624000000064
2019-02-22,100549.69,2.8758747617448246,42.599264000000026
2019-02-23,101833.56,2.0728021653490476,38.181614000000025
2019-02-24,101470.375,1.6501819932110036,36.221108000000086
2019-02-25,98364.19,5.880586480509356,44.37625999999999
2019-02-26,100650.94,7.307249256941783,32.60539400000006
2019-02-27,101733.06,4.44923340403569,28.09792400000009
2019-02-28,100883.875,3.233905930048677,25.511180000000024
2019-03-01,101257.69,1.78331032216903,28.77161000000003
2019-03-02,101301.25,1.5149445173276204,32.63208800000009
2019-03-03,100522.5,2.073095916228639,37.488596000000086
2019-03-04,100242.0,2.1624089620575755,33.500606000000076
2019-03-05,100076.56,2.8310904024591657,29.681924000000084
2019-03-06,100216.625,3.3093973523075224,26.512592000000087
2019-03-07,101015.69,2.4468669791065256,22.15057999999999
2019-03-08,101423.625,2.462538213612328,26.39636600000008
2019-03-09,101231.81,2.035056833168393,33.549548
2019-03-10,101466.56,2.173360401487103,38.383592000000036
2019-03-11,100190.94,1.171660008139187,38.09591600000009
2019-03-12,100421.125,2.922155809930841,45.30272
2019-03-13,101319.75,3.2693186670232595,37.008716000000014
2019-03-14,101430.125,2.776012152524877,39.69761000000002
2019-03-15,100632.06,3.923628300779273,46.80410000000006
2019-03-16,99198.31,3.6535538872377344,61.19929400000002
2019-03-17,100655.06,4.157673846518412,40.34426000000008
2019-03-18,101004.25,3.010062694960231,37.892894000000055
2019-03-19,101407.75,1.4428554472111343,38.14865600000005
2019-03-20,101697.25,0.9054144393505338,39.534026000000075
2019-03-21,101390.19,3.770831482148415,43.51168400000008
2019-03-22,99719.94,4.928603128529092,42.552410000000044
2019-03-23,98584.0,5.753620047464518,42.33038000000001
2019-03-24,100603.94,5.503164057846319,41.602100000000085
2019-03-25,100535.69,3.181437397403081,53.07620000000001
2019-03-26,100628.375,1.4898339387467914,45.31694000000001
2019-03-27,101439.94,2.7458785881521446,41.11804400000002
2019-03-28,102059.125,3.52874613503466,38.54004800000007
2019-03-29,101213.125,3.3194522751238975,46.05881000000001
2019-03-30,100760.5,2.6416369717068786,53.105666
2019-03-31,100068.56,5.36443013036981,58.12442600000003
2019-04-01,99887.19,5.218475540772818,43.34837000000007
2019-04-02,101455.0,2.0469535362808924,40.47008000000001
2019-04-03,101134.44,2.6333292163039927,43.81435400000002
2019-04-04,100550.56,4.8714230476704135,57.82868600000008
2019-04-05,101710.625,3.2002268784296932,49.87655600000001
2019-04-06,101527.5,2.5230836629152926,36.79887200000002
2019-04-07,101034.44,2.483770241181257,58.11213200000007
2019-04-08,100857.19,3.1004634805110687,55.567256000000086
